Invoice was charged succesfully,Invoice was charged succesfully
Sort order,Sort order
Delete Store,Delete Store
Doc Number,Doc Number
Edit Answer '%s',Edit Answer '%s'
All types,All types
Subtotal,Subtotal
Coupon code,Coupon code
User Information,User Information
Add new Role,Add new Role
# of Use,# of Use
New Customer Group,New Customer Group
For all types of checkout,For all types of checkout
New Newsletter Template,New Newsletter Template
User Info,User Info
Edit Tag,Edit Tag
Error while saving this rate. Please try again later.,Error while saving this rate. Please try again later.
Customer Group was successfully deleted,Customer Group was successfully deleted
New Customer Tax Class,New Customer Tax Class
Block was successfully saved,Block was successfully saved
Online,Online
Queue Finish,Queue Finish
Class Name,Class Name
Stores,Stores
Role ID,Role ID
Rate With %s,Rate With %s
Poll information,Poll information
Poducts Report,Poducts Report
Edit Search,Edit Search
Last date subscribed,Last date subscribed
Add,Add
Datetime,Datetime
Default Qty,Default Qty
Are you sure you want to cancel this order?,Are you sure you want to cancel this order?
Edit Poll,Edit Poll
Category deleted,Category deleted
Qty To Add,Qty To Add
Backend Model,Backend Model
User was successfully saved,User was successfully saved
Create Product Settings,Create Product Settings
From,From
Newsletter Information,Newsletter Information
Select Configurable Attributes ,Select Configurable Attributes 
Attribute Information,Attribute Information
Store Information,Store Information
n/a,n/a
Edit Website,Edit Website
Edit Set Name,Edit Set Name
Tax rate was successfully saved,Tax rate was successfully saved
Billing Address,Billing Address
Rules were successfully applied,Rules were successfully applied
This search no longer exists,This search no longer exists
This attribute shares the same value in all the stores,This attribute shares the same value in all the stores
Data Type for Saving in Database,Data Type for Saving in Database
Tag was successfully saved,Tag was successfully saved
Use advanced conditions,Use advanced conditions
Save,Save
Type,Type
Purchased at,Purchased at
Enable,Enable
Recipients,Recipients
Permission,Permission
Promo,Promo
Class Details,Class Details
Category saved,Category saved
Name In %s,Name In %s
Zip/Postal Code,Zip/Postal Code
Empty,Empty
Product Name,Product Name
NOT LOGGED IN,NOT LOGGED IN
Role successfully deleted.,Role successfully deleted.
Edit Search '%s',Edit Search '%s'
Tax rule was successfully deleted,Tax rule was successfully deleted
None,None
Per Order,Per Order
Number Added,Number Added
For shipment with matching items,For shipment with matching items
Tax rates file has been successfully imported,Tax rates file has been successfully imported
Ship to First name,Ship to First name
New Search,New Search
Edit Rule,Edit Rule
Letters(a-z) or Numbers(0-9),Letters(a-z) or Numbers(0-9)
Visible on Catalog Pages on Front-end,Visible on Catalog Pages on Front-end
Edit User '%s',Edit User '%s'
Rule Information,Rule Information
CSV,CSV
Submit Order,Submit Order
Options,Options
Edit Customer Group,Edit Customer Group
Delete,Delete
Error while saving this group. Group with the same name already exists.,Error while saving this group. Group with the same name already exists.
Last date unsubscribed,Last date unsubscribed
Text Area,Text Area
Queue Newsletter,Queue Newsletter
Bought From,Bought From
Visitor,Visitor
New Product Attribute,New Product Attribute
Currency,Currency
Error while deleting this set.,Error while deleting this set.
Please select a product,Please select a product
User Role,User Role
Assigned Role,Assigned Role
Date Created,Date Created
SKU,SKU
Conditions and Actions,Conditions and Actions
Pause,Pause
Review,Review
Integer Number,Integer Number
Option Label,Option Label
Recently Compared,Recently Compared
Start,Start
Rates,Rates
Bundle,Bundle
Save Answer,Save Answer
Number of Uses,Number of Uses
Delete Rate,Delete Rate
Shopping Cart,Shopping Cart
Save Customer,Save Customer
Apply To,Apply To
Website,Website
Template Subject,Template Subject
Preview Template,Preview Template
Attribute Properties,Attribute Properties
Customer was successfully saved,Customer was successfully saved
Create Credit Memo,Create Credit Memo
Order #%s,Order #%s
Shipping Address,Shipping Address
Attribute Identifier,Attribute Identifier
Globally Editable,Globally Editable
Category Data,Category Data
Customer Tax Class Information,Customer Tax Class Information
Selected subscribers were successfully added to the selected queue,Selected subscribers were successfully added to the selected queue
Date,Date
Nickname,Nickname
Customers Tagged Product,Customers Tagged Product
Product Rating,Product Rating
Edit %s Tax Class Title,Edit %s Tax Class Title
Customer Groups,Customer Groups
Text Field,Text Field
Enabled,Enabled
All,All
Integer,Integer
Bill to Last name,Bill to Last name
Backup,Backup
Dropdown,Dropdown
New Store,New Store
Product Tags (Total),Product Tags (Total)
Toggle Editor,Toggle Editor
Code,Code
Search Information,Search Information
Option Title,Option Title
ZIP/Post Code,ZIP/Post Code
Tax class was successfully saved,Tax class was successfully saved
Name<br/>(For internal use),Name<br/>(For internal use)
Qty,Qty
Rating Title,Rating Title
Advanced Conditions,Advanced Conditions
Tax Class,Tax Class
Keywords,Keywords
New Rule,New Rule
Fixed amount discount,Fixed amount discount
Redirect,Redirect
You cannot edit this attribute,You cannot edit this attribute
Unsubcribed,Unsubcribed
Edit Invoice #%s,Edit Invoice #%s
Add Group,Add Group
DB,DB
Tier Pricing,Tier Pricing
New Email Template,New Email Template
Results,Results
First Name,First Name
Save Poll,Save Poll
Product Attribute Sets,Product Attribute Sets
Save Category,Save Category
Customer Information,Customer Information
Create New Order,Create New Order
"Invalid Region/State ""%s"" in the Row #%s","Invalid Region/State ""%s"" in the Row #%s"
This invoice no longer exists,This invoice no longer exists
Create New Credit Memo,Create New Credit Memo
New Customer Groups,New Customer Groups
Bought from wishlists,Bought from wishlists
Products Tagged with '%s',Products Tagged with '%s'
Edit Role,Edit Role
Edit Order,Edit Order
Edit Rating,Edit Rating
Add New Block,Add New Block
New Credit Memo for Invoice #,New Credit Memo for Invoice #
Name,Name
Not activated,Not activated
Invalid request,Invalid request
Exclude multi-address checkout,Exclude multi-address checkout
Add New Attribute Set,Add New Attribute Set
Delete Invoice,Delete Invoice
Wrong column format,Wrong column format
Edit Order #%s,Edit Order #%s
Review was successfully saved,Review was successfully saved
All Stores,All Stores
Summary of Review,Summary of Review
Date Posted,Date Posted
Qty Shipped,Qty Shipped
Save config,Save config
Invoice was successfully charged,Invoice was successfully charged
Actions,Actions
Export,Export
Please select State,Please select State
All countries,All countries
Selected problems successfully deleted,Selected problems successfully deleted
Save Store,Save Store
Percent of product price discount,Percent of product price discount
Save Page,Save Page
Error while saving this tax class. Please try again later.,Error while saving this tax class. Please try again later.
Customers Only,Customers Only
Catalog Price Rule,Catalog Price Rule
Customer doesn't have primary billing address,Customer doesn't have primary billing address
Virtual Products,Virtual Products
Add New Answer,Add New Answer
Unable to find a poll to delete,Unable to find a poll to delete
All tags,All tags
%s Tax Classes Title,%s Tax Classes Title
Product name,Product name
(Will make search for the query above return results for this search.),(Will make search for the query above return results for this search.)
Subcribed,Subcribed
Edit Group,Edit Group
Number Viewed,Number Viewed
Rating Information,Rating Information
Bill to First name,Bill to First name
Attribute set successfully saved.,Attribute set successfully saved.
Attribute Model,Attribute Model
Error while saving this tax rule. Please try again later.,Error while saving this tax rule. Please try again later.
Attribute with the same code already exists,Attribute with the same code already exists
Qty Returned,Qty Returned
Delete Template,Delete Template
Add Answer,Add Answer
Add New Tag,Add New Tag
